"name","price","quantity","ean"
"CRYSTAL C/GAS PET 500ML","3.49","19","7894900531008"
"CRYSTAL S/GAS PET 500ML","3.49","22","7894900530001"
"ABSOLUT SPRITE LT 269ML","10.9","2","7894900337006"
"CHICLETE TRIDENT HORT/MENTA 8G","2.99","5","7895800304211"
"MENTOS PURE WHITE 56G","15.9","2","78922334"
"MENTOS UP2U 56G","15.9","1","7895144293080"
"BOLD COOKIES & CREAM","14.9","2","0602883960336"
"BOLD CRUNCH CARAMELO E CHOCOLATE 50G","14.9","1","7898755180510"
"CORONA LN 330 ML","9.99","27","7891149108718"
"HEINEKEN LN 330ML","9.99","14","78936683"
"HEINEKEN LT 350 ML","7.99","12","7896045506873"
"HEINEKEN ZERO LT 350ML","7.19","9","896045506910"
"CHOCOLATE AO LEITE NESTLE 80G","12.9","5","7891000369098"
"CHOCOLATE MEIO AMARGO NESTLE 80G","12.9","1","7891000368572"
"CHOCOLATE SULFLAIR NESTLE 80G","12.9","5","7891000329856"
"KINDER CHOCOLATE 12G","3.49","17","80050315"
"NESTLE CHOCO BISCUIT 90G","12.9","6","7891000377543"
"NESTLE CHOCO BISCUIT AMENDOIN","12.9","2","7891000377642"
"NUTELLA B-READY 22G","5.99","1","7898024397915"
"PALITO DE DENTE FIAT LUX","1.99","7","7896007952144"
"GIN BEEFEATER 750ML","79.9","1","5000329002537"
"WHISKY JOHNNIE WALKER RED LABEL","129","1","5000267013602"
"ENERGETICO RED BULL 250ML","10.49","4","611269991000"
"ENERGETICO RED BULL ZERO 250 ML","10.49","5","611269101713"
"MONSTER GREEN LT 473ML","10.49","1","070847022015"
"MONSTER NO SUGAR LT 473ML","10.49","4","7898938890076"
"CONDICIONADOR SÓLIDO HIDRATAÇÃO PROFUNDA 80G","44.9","2","7898996330651"
"COTONETE COTTONBABY 75 UNID","3.99","4","7896227620014"
"DESODORANTE DOVE 200ml","25.9","1","7891150068780"
"FIO DENTAL COLGATE 50M","16.9","1","7891024183007"
"SABONETE DOVE ORIGINAL 90G","7.29","2","7898422746759"
"SABONETE LIMPEZA PROFUNDA 80G","34.9","2","7898996330613"
"SHAMPOO SÓLIDO LIMPEZA PROFUNDA 80G","44.9","2","7898996330644"
"SABÃO LÍQUIDO OMO LAV. PER. 900ML","19.99","2","7891150064928"
"PILHA DURACELL AA2 2 UNID","14.9","1","041333001005"
"PILHA DURACELL AAA2 2 UNID","14.9","2","041333001074"
"COCA COLA LT 350ML","4.49","23","7894900010015"
"COCA COLA SEM AÇUCAR LT 350ML","4.49","17","7894900700015"
"GUARANA ANTARCTICA SEM ACUCAR LT 350ML","4.49","13","7891991000727"
"FANDANGOS PRESUNGO 105G","12.9","3","7892840822880"
"LAYS SOUR CREAM 80G","13.9","3","7892840816780"
"PRINGLES CREMDE DE CEBOLA 105G","15.39","8","7896004006239"
"PRINGLES ORIGINAL 105G","15.39","8","7896004006277"
"120 CABERNET SAUVIGNON 750ml","54.9","2","7804330311101"
"CASAL GARCIA VERDE 750 ML","69.9","2","5601096201309"
"THEREZOPOLIS BOCK LATA 350ML","7.49","1","7896371000410"
"HERSHEY’S DARK 60%","14.9","2","7899970400902"
"FRUIT-TELLA MORANGO CREME 41G","3.19","14","7895144028019"
"BOLD LEITE & AVELÃ 60G","14.99","11","602883960565"
"MONSTER ULTRA FIESTA LT 473ML","10.49","2","7898938890113"
"NESTLE CHOCO BISCUIT CHOCOLATE 90G","12.9","1","7891000377598"
"YOPRO DOCE DE LEITE 15G","12.9","1","7891025125013"
"MARETTI BRUSCHETTE SOUR CREAM 85G","13.9","4","3800205877325"
"MARETTI BRUSCHETTE ALHO 85G","13.9","5","3800205870517"
"POPCORNERS WHITE CHEDDAR 57G","12.9","3","7892840821739"
"THEREZOPOLIS LT 350ML","5.29","12","7896371000007"
